,0
1090,-3703.773719531584
1091,-3701.894496126743
1092,-3700.01761790632
1093,-3698.143079948607
1094,-3696.270877346427
1095,-3694.401005207097
1096,-3692.533458652356
1097,-3690.668232818318
1098,-3688.8053228554168
1099,-3686.9447239283536
1100,-3685.08643121604
1101,-3683.2304399115446
1102,-3681.37674522204
1103,-3679.5253423687514
1104,-3677.6762265869033
1105,-3675.8293931256617
1106,-3673.984837248093
1107,-3672.142554231096
1108,-3670.3025393653647
1109,-3668.464787955331
1110,-3666.629295319107
1111,-3664.796056788443
1112,-3662.9650677086743
1113,-3661.13632343867
1114,-3659.309819350775
1115,-3657.4855508307724
1116,-3655.663513277824
1117,-3653.843702104426
1118,-3652.026112736354
1119,-3650.210740612623
1120,-3648.39758118542
1121,-3646.586629920079
1122,-3644.777882295015
1123,-3642.971333801679
1124,-3641.166979944514
1125,-3639.3648162409036
1126,-3637.564838221122
1127,-3635.7670414282943
1128,-3633.971421418337
1129,-3632.1779737599263
1130,-3630.386694034437
1131,-3628.597577835897
1132,-3626.8106207709557
1133,-3625.025818458816
1134,-3623.243166531207
1135,-3621.4626606323245
1136,-3619.6842964187945
1137,-3617.908069559618
1138,-3616.1339757361393
1139,-3614.3620106419867
1140,-3612.592169983037
1141,-3610.824449477369
1142,-3609.0588448552103
1143,-3607.2953518589093
1144,-3605.5339662428764
1145,-3603.774683773548
1146,-3602.017500229339
1147,-3600.2624114006003
1148,-3598.509413089578
1149,-3596.758501110365
1150,-3595.0096712888635
1151,-3593.262919462737
1152,-3591.518241481374
1153,-3589.7756332058375
1154,-3588.03509050883
1155,-3586.2966092746497
1156,-3584.5601853991425
1157,-3582.8258147896718
1158,-3581.0934933650647
1159,-3579.3632170555834
1160,-3577.63498180287
1161,-3575.9087835599184
1162,-3574.1846182910217
1163,-3572.462481971744
1164,-3570.7423705888755
1165,-3569.02428014038
1166,-3567.308206635376
1167,-3565.594146094081
1168,-3563.882094547778
1169,-3562.1720480387767
1170,-3560.464002620368
1171,-3558.7579543567963
1172,-3557.053899323208
1173,-3555.351833605617
1174,-3553.651753300871
1175,-3551.9536545166084
1176,-3550.257533371216
1177,-3548.563385993804
1178,-3546.8712085241523
1179,-3545.1809971126786
1180,-3543.492747920411
1181,-3541.8064571189284
1182,-3540.1221208903485
1183,-3538.439735427271
1184,-3536.7592969327484
1185,-3535.080801620248
1186,-3533.404245713621
1187,-3531.7296254470507
1188,-3530.056937065036
1189,-3528.3861768223396
1190,-3526.717340983955
1191,-3525.0504258250803
1192,-3523.385427631069
1193,-3521.722342697401
1194,-3520.0611673296503
1195,-3518.40189784344
1196,-3516.744530564419
1197,-3515.089061828215
1198,-3513.435487980411
1199,-3511.7838053765026
1200,-3510.1340103818634
1201,-3508.4860993717193
1202,-3506.8400687311014
1203,-3505.1959148548212
1204,-3503.5536341474362
1205,-3501.9132230232103
1206,-3500.274677906084
1207,-3498.6379952296425
1208,-3497.003171437076
1209,-3495.3702029811557
1210,-3493.7390863241903
1211,-3492.109817938002
1212,-3490.482394303886
1213,-3488.8568119125857
1214,-3487.2330672642543
1215,-3485.611156868422
1216,-3483.991077243967
1217,-3482.372824919084
1218,-3480.756396431247
1219,-3479.1417883271806
1220,-3477.5289971628317
1221,-3475.918019503331
1222,-3474.308851922966
1223,-3472.701491005145
1224,-3471.095933342379
1225,-3469.4921755362266
1226,-3467.890214197289
1227,-3466.290045945161
1228,-3464.691667408409
